2019-04-09 11:06:47,753 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2019-04-09 11:06:47,762 | INFO | DefaultCamelContext.java 3596 | Apache Camel 2.23.1 (CamelContext: camel-1) uptime 50.922 seconds
2019-04-09 11:06:47,762 | INFO | DefaultCamelContext.java 3597 | Apache Camel 2.23.1 (CamelContext: camel-1) is shutdown in 0.080 seconds
2019-04-09 11:07:01,485 | INFO | DefaultCamelContext.java 3138 | Apache Camel 2.23.1 (CamelContext: camel-1) is starting
2019-04-09 11:07:01,488 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-04-09 11:07:01,707 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 195, classpath: 4)
2019-04-09 11:07:01,829 | INFO | DefaultCamelContext.java 3465 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-04-09 11:07:02,111 | INFO | BrokerService.java 521 | Using Persistence Adapter: MemoryPersistenceAdapter
2019-04-09 11:07:02,112 | INFO | BrokerService.java 799 | ActiveMQ 5.6.0 JMS Message Broker (localhost) is starting
2019-04-09 11:07:02,112 | INFO | BrokerService.java 801 | For help or more information please see: http://activemq.apache.org/
2019-04-09 11:07:02,165 | INFO | ManagementContext.java 101 | JMX consoles can connect to service:jmx:rmi:///jndi/rmi://localhost:1099/jmxrmi
2019-04-09 11:07:02,245 | INFO | BrokerService.java 564 | ActiveMQ JMS Message Broker (localhost, ID:FBDLXPS15-54430-1554793622128-0:1) started
2019-04-09 11:07:02,250 | INFO | TransportConnector.java 265 | Connector vm://localhost Started
2019-04-09 11:07:02,287 | INFO | DefaultCamelContext.java 4034 | Route: route1 started and consuming from: activemq://queue:JMS.SAMPLE.REQ
2019-04-09 11:07:02,287 | INFO | DefaultCamelContext.java 3186 | Total 1 routes, of which 1 are started
2019-04-09 11:07:02,289 | INFO | DefaultCamelContext.java 3197 | Apache Camel 2.23.1 (CamelContext: camel-1) started in 0.808 seconds
2019-04-09 11:07:07,290 | INFO | DefaultCamelContext.java 3496 | Apache Camel 2.23.1 (CamelContext: camel-1) is shutting down
2019-04-09 11:07:07,291 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2019-04-09 11:07:07,322 | INFO | TransportConnector.java 307 | Connector vm://localhost Stopped
2019-04-09 11:07:07,323 | INFO | BrokerService.java 605 | ActiveMQ Message Broker (localhost, ID:FBDLXPS15-54430-1554793622128-0:1) is shutting down
2019-04-09 11:07:07,328 | INFO | BrokerService.java 676 | ActiveMQ JMS Message Broker (localhost, ID:FBDLXPS15-54430-1554793622128-0:1) stopped
2019-04-09 11:07:07,329 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: activemq://queue:JMS.SAMPLE.REQ
2019-04-09 11:07:07,329 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2019-04-09 11:07:07,340 | INFO | DefaultCamelContext.java 3596 | Apache Camel 2.23.1 (CamelContext: camel-1) uptime 5.860 seconds
2019-04-09 11:07:07,340 | INFO | DefaultCamelContext.java 3597 | Apache Camel 2.23.1 (CamelContext: camel-1) is shutdown in 0.050 seconds
2019-04-09 11:09:00,009 | INFO | DefaultCamelContext.java 3138 | Apache Camel 2.23.1 (CamelContext: camel-1) is starting
2019-04-09 11:09:00,012 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-04-09 11:09:00,256 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 195, classpath: 4)
2019-04-09 11:09:00,381 | INFO | DefaultCamelContext.java 3465 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-04-09 11:09:00,710 | INFO | BrokerService.java 521 | Using Persistence Adapter: MemoryPersistenceAdapter
2019-04-09 11:09:00,711 | INFO | BrokerService.java 799 | ActiveMQ 5.6.0 JMS Message Broker (localhost) is starting
2019-04-09 11:09:00,712 | INFO | BrokerService.java 801 | For help or more information please see: http://activemq.apache.org/
2019-04-09 11:09:00,751 | INFO | ManagementContext.java 101 | JMX consoles can connect to service:jmx:rmi:///jndi/rmi://localhost:1099/jmxrmi
2019-04-09 11:09:00,882 | INFO | BrokerService.java 564 | ActiveMQ JMS Message Broker (localhost, ID:FBDLXPS15-54523-1554793740727-0:1) started
2019-04-09 11:09:00,890 | INFO | TransportConnector.java 265 | Connector vm://localhost Started
2019-04-09 11:09:00,928 | INFO | DefaultCamelContext.java 4034 | Route: route1 started and consuming from: activemq://JMS.SAMPLE.REQ
2019-04-09 11:09:00,928 | INFO | DefaultCamelContext.java 3186 | Total 1 routes, of which 1 are started
2019-04-09 11:09:00,929 | INFO | DefaultCamelContext.java 3197 | Apache Camel 2.23.1 (CamelContext: camel-1) started in 0.925 seconds
2019-04-09 11:09:05,931 | INFO | DefaultCamelContext.java 3496 | Apache Camel 2.23.1 (CamelContext: camel-1) is shutting down
2019-04-09 11:09:05,931 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2019-04-09 11:09:05,963 | INFO | TransportConnector.java 307 | Connector vm://localhost Stopped
2019-04-09 11:09:05,965 | INFO | BrokerService.java 605 | ActiveMQ Message Broker (localhost, ID:FBDLXPS15-54523-1554793740727-0:1) is shutting down
2019-04-09 11:09:05,971 | INFO | BrokerService.java 676 | ActiveMQ JMS Message Broker (localhost, ID:FBDLXPS15-54523-1554793740727-0:1) stopped
2019-04-09 11:09:05,972 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: activemq://JMS.SAMPLE.REQ
2019-04-09 11:09:05,973 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2019-04-09 11:09:05,982 | INFO | DefaultCamelContext.java 3596 | Apache Camel 2.23.1 (CamelContext: camel-1) uptime 5.979 seconds
2019-04-09 11:09:05,982 | INFO | DefaultCamelContext.java 3597 | Apache Camel 2.23.1 (CamelContext: camel-1) is shutdown in 0.051 seconds
2019-04-09 11:09:31,672 | DEBUG | DefaultCamelContext.java 1020 | Adding routes from builder: Routes: []
2019-04-09 11:09:31,706 | DEBUG | LRUCacheFactory.java 65 | Warming up LRUCache ...
2019-04-09 11:09:31,739 | DEBUG | LRUCacheFactory.java 67 | Warming up LRUCache complete in 33 millis
2019-04-09 11:09:31,748 | INFO | DefaultCamelContext.java 3138 | Apache Camel 2.23.1 (CamelContext: camel-1) is starting
